classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.kitchen.type,NOTRclassified.building.constructionYear,classified.building.condition,NOTRclassified.energy.heatingType,NOTRclassified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor
house,house,195000,for sale,8400,installed,None,good,None,None,3,768,1,None,0,0,1
house,villa,345000,for sale,6001,installed,1992,good,electric,575,4,1320,0,1224,1,1,1
house,house,299000,for sale,8540,None,None,None,None,310,4,378,0,None,0,0,None
house,house,299000,for sale,8540,None,None,None,None,310,4,378,0,None,0,0,None
house,house,4500000,for sale,1050,None,1908,as new,gas,320,4,0,0,None,0,0,None
house,house,300000,for sale,9000,None,None,None,None,341,2,77,0,None,1,0,None
house,house,258000,for sale,8370,None,None,to renovate,gas,534,3,65,0,None,0,0,None
house,house,348000,for sale,9990,None,1980,None,None,410,4,1253,0,None,0,0,1
house,house,425000,for sale,3270,None,2022,None,gas,None,4,517,0,None,1,0,None
house,house,235000,for sale,7300,installed,None,good,fueloil,473,3,340,1,196,1,0,2
house,house,259000,for sale,1070,not installed,1986,good,gas,595,5,0,0,None,0,0,None
house,house,259000,for sale,1070,not installed,1986,good,gas,595,5,0,0,None,0,0,None
house,villa,499000,for sale,1850,installed,1990,None,electric,511,2,750,1,None,1,0,1
house,house,520000,for sale,1160,not installed,1932,to renovate,gas,525,4,142,1,41,1,0,None
house,mixed use building,1350000,for sale,9000,usa hyper equipped,1842,good,gas,301,10,311,1,None,1,0,1
house,villa,949000,for sale,3012,hyper equipped,1974,good,fueloil,None,5,2040,0,None,1,1,2
house,house,475000,for sale,3140,installed,1982,good,fueloil,366,4,1122,1,None,1,0,2
house,house,275000,for sale,1420,None,None,to be done up,fueloil,544,3,0,1,None,1,0,None
house,house,275000,for sale,1420,None,None,to be done up,fueloil,544,3,0,1,None,1,0,None
house,house,180000,for sale,4000,semi equipped,None,good,gas,371,3,150,0,150,1,0,None
house,villa,491000,for sale,7950,usa hyper equipped,2007,as new,fueloil,None,4,1636,1,1400,1,0,2
house,apartment block,395000,for sale,8520,None,None,None,None,None,0,1187,0,None,0,0,None
house,house,219000,for sale,2850,installed,None,just renovated,gas,259,2,40,0,None,0,0,None
house,house,130000,for sale,6040,usa semi equipped,None,as new,None,472,3,60,1,None,0,0,None
house,house,129500,for sale,4400,installed,None,good,fueloil,420,3,0,1,200,1,0,None
house,house,129500,for sale,4400,installed,None,good,fueloil,420,3,0,1,200,1,0,None
house,house,1245000,for sale,8300,installed,None,as new,gas,178,5,110,0,None,1,0,1
house,house,155000,for sale,8400,installed,None,good,gas,None,1,45,0,None,0,0,None
house,house,1575000,for sale,3300,hyper equipped,2012,None,gas,177,6,1233,0,None,1,0,None
house,mixed use building,1575000,for sale,3300,hyper equipped,2012,None,gas,177,6,1233,0,None,1,0,None
house,house,145000,for sale,6044,installed,None,as new,gas,411,2,260,1,None,1,0,None
house,house,275000,for sale,7170,installed,None,as new,gas,316,3,303,1,None,1,0,None
house,house,830000,for sale,1190,None,None,to renovate,None,None,5,97,0,None,1,0,None
house,house,165000,for sale,8400,installed,None,good,None,None,3,70,1,None,1,0,None
house,country cottage,1000000,for sale,1852,None,1961,good,fueloil,605,5,15740,0,None,0,0,None
house,house,365000,for sale,1070,usa hyper equipped,1900,good,gas,298,3,50,1,None,1,0,None
house,house,235000,for sale,2000,installed,2021,just renovated,gas,170,1,87,0,67,0,0,None
house,house,398000,for sale,9500,hyper equipped,None,just renovated,gas,176,3,240,1,105,1,0,None
house,mixed use building,2350000,for sale,1070,None,None,as new,fueloil,None,0,200050,0,None,0,0,None
house,house,364800,for sale,9470,hyper equipped,2022,as new,gas,20,3,276,1,None,0,0,None
house,house,364300,for sale,9470,hyper equipped,2022,as new,gas,20,3,274,1,None,0,0,None
house,house,364300,for sale,9470,hyper equipped,2022,as new,gas,20,3,274,1,None,0,0,None
house,house,364300,for sale,9470,hyper equipped,2022,as new,gas,20,3,274,1,None,0,0,None
house,house,364300,for sale,9470,hyper equipped,2022,as new,gas,20,3,274,1,None,0,0,None
house,house,365000,for sale,1300,installed,1973,good,gas,347,3,560,0,None,1,0,1
house group,house group,294915 - 305552,for sale,2490,None,None,None,None,None,None,None,0,None,0,0,21
house,house,674900,for sale,3040,hyper equipped,2022,as new,gas,20,3,3435,0,None,0,0,1
house,house,2249000,for sale,3140,hyper equipped,1955,as new,gas,171,4,5707,1,None,1,1,2
house,house,395000,for sale,2040,None,None,as new,gas,213,3,430,0,None,0,0,None
house,house,395000,for sale,2040,None,None,as new,gas,213,3,430,0,None,0,0,None
house,house,397500,for sale,1500,None,2001,None,None,None,5,433,0,None,0,0,None
house,apartment block,209000,for sale,9280,None,None,as new,None,86,2,0,0,None,1,0,None
house,apartment block,209000,for sale,9280,None,None,as new,None,86,2,0,0,None,1,0,None
house,villa,990000,for sale,8420,None,None,None,None,None,10,494,0,None,0,0,None
house,house,298000,for sale,8310,semi equipped,1950,to be done up,gas,525,3,360,0,None,0,0,1
house,house,298000,for sale,8310,semi equipped,1950,to be done up,gas,525,3,360,0,None,0,0,1
house group,house group,310000 - 352500,for sale,8730,None,None,None,None,None,None,None,0,None,0,0,None
house,house,349000,for sale,3590,None,1966,to be done up,gas,370,3,303,0,None,1,0,1
house,house,349000,for sale,3590,None,1966,to be done up,gas,370,3,303,0,None,1,0,1
house,exceptional property,849000,for sale,1700,not installed,1907,to renovate,gas,613,5,5423,0,5203,0,0,1
house group,house group,319000 - 319000,for sale,9600,None,None,None,None,None,None,None,0,None,0,0,None
house,house,575000,for sale,9473,None,1945,good,None,597,3,1268,0,None,1,0,None
house,house,575000,for sale,9473,None,1945,good,None,597,3,1268,0,None,1,0,None
house,mixed use building,329900,for sale,2018,installed,None,just renovated,gas,168,3,60,0,6,0,0,None
house,house,299500,for sale,4920,installed,None,to be done up,None,454,5,1686,0,1686,1,0,2
house,house,299500,for sale,4920,installed,None,to be done up,None,454,5,1686,0,1686,1,0,2
house,house,179000,for sale,6180,semi equipped,1960,good,gas,268,2,551,1,450,1,0,None
house,apartment block,497000,for sale,9700,hyper equipped,1990,just renovated,gas,108,4,338,0,185,0,0,None
house,house,179000,for sale,9300,None,None,to renovate,gas,448,2,90,1,None,1,0,None
house,house,179000,for sale,9300,None,None,to renovate,gas,448,2,90,1,None,1,0,None
house,house,225000,for sale,5580,semi equipped,None,good,wood,271,5,520,0,520,0,0,None
house,house,260000,for sale,6533,None,None,as new,fueloil,323,2,1097,0,490,0,0,None
house,house,260000,for sale,6533,None,None,as new,fueloil,323,2,1097,0,490,0,0,None
house,house,220000,for sale,7100,installed,None,good,None,348,3,500,0,None,1,0,None
house,house,651100,for sale,3040,hyper equipped,2022,None,gas,20,3,882,0,None,0,0,1
house,house,595400,for sale,3040,hyper equipped,2022,as new,gas,20,3,718,0,None,0,0,1
house,house,595400,for sale,3040,hyper equipped,2022,as new,gas,20,3,867,0,None,0,0,1
house,house,333181,for sale,2490,installed,None,None,gas,None,3,434,0,None,0,0,None
house,house,333181,for sale,2490,installed,None,None,gas,None,3,434,0,None,0,0,None
house,house,356019,for sale,2490,installed,None,None,gas,None,3,462,0,None,0,0,None
house,house,357147,for sale,2490,None,None,None,gas,None,3,475,0,None,0,0,None
house,house,347104,for sale,2490,None,None,None,gas,None,3,596,0,None,0,0,None
house,house,394400,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,350000,for sale,4280,installed,None,good,fueloil,448,5,1050,1,780,0,0,1
house,house,404600,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,394400,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,404600,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,394400,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,404600,for sale,2830,hyper equipped,2022,as new,gas,20,3,300,1,None,0,0,1
house,house,650000,for sale,8000,installed,1850,good,gas,191,3,332,1,139,0,0,2
house,house,309000,for sale,9041,None,1988,to be done up,None,471,3,425,1,None,0,0,2
house,mixed use building,629000,for sale,8340,hyper equipped,None,as new,gas,200,4,1591,1,None,1,0,None
house,house,220000,for sale,3440,not installed,1970,to renovate,None,720,3,663,0,96,0,0,1
house,house,525000,for sale,9991,None,1994,good,None,None,4,1280,0,None,0,0,2
house,house,160000,for sale,2400,installed,None,to renovate,fueloil,721,2,140,0,None,0,0,1
house,house,345000,for sale,9660,None,1986,as new,fueloil,None,2,0,0,None,1,0,1
house,house,345000,for sale,9660,None,1986,as new,fueloil,None,2,0,0,None,1,0,1
house,house,369000,for sale,4190,installed,2006,good,fueloil,208,4,1450,0,800,1,0,1
house,house,239000,for sale,8870,installed,1964,to be done up,None,423,4,318,0,None,1,0,1
house,house,389000,for sale,1790,installed,2017,as new,gas,143,3,1036,1,900,1,0,1
house,apartment block,365000,for sale,7100,semi equipped,1947,good,gas,431,5,403,1,None,1,0,3
house,apartment block,365000,for sale,7100,semi equipped,1947,good,gas,431,5,403,1,None,1,0,3
house group,house group,245000 - 262000,for sale,9600,None,None,None,None,None,None,None,0,None,0,0,None
house,house,214000,for sale,7711,installed,1940,good,gas,226,3,202,1,110,1,0,1
house,house,269000,for sale,7070,installed,1991,good,gas,155,7,370,1,240,1,0,None
house,house,350000,for sale,5590,installed,2008,as new,fueloil,216,3,871,1,None,1,0,None
house,house,350000,for sale,5590,installed,2008,as new,fueloil,216,3,871,1,None,1,0,None
house,house,498000,for sale,6700,installed,1939,good,None,273,4,698,0,None,0,0,1
house,house,498000,for sale,6700,installed,1939,good,None,273,4,698,0,None,0,0,1
house,house,218000,for sale,6464,installed,None,good,fueloil,196,3,287,1,181,1,0,None
house,house,584000,for sale,1640,None,2006,None,None,149,5,285,0,None,1,0,1
house,house,330000,for sale,9870,None,1973,None,None,363,3,475,0,None,1,0,1
house,house,195000,for sale,7130,not installed,None,good,fueloil,361,3,0,0,None,0,0,None
house,house,245000,for sale,1430,semi equipped,None,to be done up,gas,430,2,700,1,None,0,0,None
house,house,325000,for sale,1450,semi equipped,1957,to be done up,gas,502,3,1335,0,None,1,0,2
house,house,295000,for sale,1450,semi equipped,1951,to renovate,gas,495,3,837,0,None,1,0,2
house,exceptional property,299999,for sale,1350,installed,1900,good,fueloil,387,4,299,0,None,1,0,2
house,villa,599000,for sale,2970,hyper equipped,None,as new,gas,None,3,865,1,747,0,0,1
house,villa,599000,for sale,2970,hyper equipped,None,as new,None,None,3,917,1,799,0,0,None
house,villa,629000,for sale,2970,hyper equipped,None,as new,None,None,3,711,1,593,1,0,None
house,house,149900,for sale,6200,installed,1956,to be done up,fueloil,510,3,105,1,120,1,0,1
house,house,149900,for sale,6200,installed,1956,to be done up,fueloil,510,3,105,1,120,1,0,1
house,house,190000,for sale,7070,installed,1920,good,gas,401,3,225,1,115,1,0,None
house,apartment block,1150000,for sale,1050,installed,1896,good,gas,385,6,154,0,60,1,0,None
house,exceptional property,1000000,for sale,1380,semi equipped,None,to renovate,fueloil,193,6,2230,0,2000,0,0,3
house,apartment block,200000,for sale,6760,not installed,None,to renovate,fueloil,248,2,95,0,None,0,0,None
house,house,165000,for sale,7866,None,None,good,fueloil,295,2,112,0,None,0,0,None
house group,house group,303500 - 304017,for sale,8760,None,None,None,None,None,None,None,0,None,0,0,None
house,house,255000,for sale,6700,semi equipped,None,to be done up,gas,294,3,130,0,None,0,0,1
house,apartment block,285000,for sale,6000,usa semi equipped,None,to be done up,gas,345,3,250,0,150,1,0,None
house,house,319000,for sale,1020,not installed,None,to renovate,gas,518,5,0,1,None,0,0,None
house,house,235000,for sale,7340,installed,2016,None,pellet,351,3,400,1,None,1,0,1
house,house,199000,for sale,5100,not installed,None,to renovate,fueloil,492,4,3127,1,None,0,0,None
house,mixed use building,399000,for sale,9300,None,1983,None,gas,503,2,337,0,None,1,0,1
house,house,no price,for sale,1730,semi equipped,1970,to renovate,gas,669,4,456,1,None,0,0,1
house,house,351800,for sale,9450,installed,None,as new,None,None,3,7211,0,4500,1,0,None
house,house,275000,for sale,6791,semi equipped,1930,None,fueloil,489,3,876,0,None,1,0,1
house,house,145000,for sale,1370,semi equipped,1850,good,electric,457,1,0,0,None,1,0,None
house,house,250000,for sale,3380,installed,1974,None,fueloil,547,3,797,1,None,1,0,None
house,house,80000,for sale,7390,None,None,to be done up,gas,397,2,111,1,None,1,0,1
house,mixed use building,500000,for sale,5620,None,None,to renovate,None,564,0,1436,0,None,0,0,None
house,house,245000,for sale,8000,None,1951,None,None,443,4,225,1,None,1,0,1
house,house,245000,for sale,8000,None,1951,None,None,443,4,225,1,None,1,0,1
house,house,279000,for sale,9000,installed,None,just renovated,gas,None,3,87,1,None,1,0,None
house,house,279000,for sale,9000,installed,None,just renovated,gas,None,3,87,1,None,1,0,None
house,apartment block,439000,for sale,2870,installed,1984,good,gas,141,4,370,0,240,1,0,None
house,house,239000,for sale,8370,installed,None,good,gas,646,5,71,0,None,0,0,None
house,house,368000,for sale,2800,hyper equipped,None,as new,None,None,3,0,0,54,1,0,None
house,house,200000,for sale,6600,None,1957,good,fueloil,346,4,204,0,None,0,0,None
house,country cottage,3300000,for sale,8554,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,country cottage,3300000,for sale,8554,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,other property,3300000,for sale,8554,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,house,389000,for sale,2800,None,2021,None,None,70,4,84,0,22,0,0,None
house,house,165000,for sale,8480,installed,1934,to renovate,gas,742,2,368,0,None,0,0,1
house,house,265000,for sale,8450,installed,1930,good,None,177,3,167,0,75,0,0,None
house,house,265000,for sale,8450,installed,1930,good,None,177,3,167,0,75,0,0,None
house,house,950000,for sale,2850,None,None,good,gas,381,7,660,0,None,0,0,2
house,house,950000,for sale,2850,None,None,good,gas,381,7,660,0,None,0,0,2
house,house,379000,for sale,2220,installed,None,as new,fueloil,392,4,620,0,None,0,0,1
house group,house group,315000 - 385000,for sale,4670,None,None,None,None,None,None,None,0,None,0,0,None
house,apartment block,850000,for sale,1030,not installed,1908,to renovate,gas,999,7,160,0,30,1,0,None
house,house,305000,for sale,2940,None,None,as new,None,None,3,467,1,None,1,0,None
house,house,365000,for sale,3350,None,1990,as new,None,358,3,783,0,None,0,0,None
house,house,180000,for sale,5555,semi equipped,None,good,fueloil,490,2,584,1,400,1,0,3
house,house,249000,for sale,9690,None,None,to restore,fueloil,700,4,1196,0,None,0,0,None
house,house,259000,for sale,9620,semi equipped,None,to be done up,fueloil,827,3,961,1,975,0,0,1
house,manor house,375000,for sale,7800,None,1830,to be done up,gas,219,3,2000,0,None,0,0,None
house group,house group,347500 - 366500,for sale,8460,None,None,None,None,None,None,None,0,None,0,0,None
house,mansion,785000,for sale,9600,installed,None,None,fueloil,328,8,476,0,270,1,0,None
house,house,195000,for sale,5070,semi equipped,None,to renovate,fueloil,646,2,1415,0,None,1,0,2
house,house,349000,for sale,4053,None,None,to renovate,fueloil,510,5,648,0,550,0,0,1
house,house,349000,for sale,4053,None,None,to renovate,fueloil,510,5,648,0,550,0,0,1
house,country cottage,3300000,for sale,8500,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,country cottage,3300000,for sale,8500,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,other property,3300000,for sale,8500,installed,None,good,fueloil,212,4,6703,0,None,0,0,None
house,house,425000,for sale,8501,installed,None,good,gas,298,4,275,0,None,0,0,None
house,house,425000,for sale,8501,installed,None,good,gas,298,4,275,0,None,0,0,None
house,country cottage,445000,for sale,7830,None,1900,to restore,fueloil,366,5,959,0,None,0,0,1
house,house,139999,for sale,6200,installed,None,just renovated,None,None,2,1490,1,1490,0,0,None
house,house,139999,for sale,6200,installed,None,just renovated,None,None,2,1490,1,1490,0,0,None
house,house,375000,for sale,1420,usa installed,1955,as new,gas,247,3,251,0,200,1,0,None
house,house,375000,for sale,1420,usa installed,1955,as new,gas,247,3,251,0,200,1,0,None
house,apartment block,209000,for sale,5500,None,None,to renovate,fueloil,710,4,0,0,None,0,0,None
house,house,489000,for sale,7711,installed,1979,good,gas,194,3,1125,0,None,1,0,1
house,house,180000,for sale,6220,semi equipped,None,good,fueloil,373,2,0,0,None,0,0,None
house,mansion,1250000,for sale,9000,None,None,good,gas,241,8,87,0,None,0,0,None
house,house,279500,for sale,9800,None,1937,None,None,172,3,200,0,None,1,0,None
house,house,279500,for sale,9800,None,1937,None,None,172,3,200,0,None,1,0,None
house,house,299000,for sale,9500,installed,None,just renovated,None,366,4,285,0,170,1,0,None
house,house,299000,for sale,9500,installed,None,just renovated,None,366,4,285,0,170,1,0,None
house,house,495000,for sale,8434,installed,None,just renovated,gas,708,4,800,0,680,0,0,None
house,villa,395000,for sale,9450,None,1990,as new,None,354,4,780,0,None,0,0,1
house,house,1595000,for sale,8300,usa installed,None,as new,gas,84,3,83,0,None,1,0,1
house,house,380000,for sale,1410,semi equipped,1950,to be done up,gas,312,3,696,1,None,1,0,None
house,house,249000,for sale,9300,installed,1950,to renovate,gas,460,3,524,0,None,1,0,1
house,house,249000,for sale,9310,installed,1950,to renovate,gas,460,3,524,0,None,1,0,1
house,house,950000,for sale,9255,None,1988,as new,None,348,6,2870,1,2700,1,0,2
house,house,950000,for sale,9255,None,1988,as new,None,348,6,2870,1,2700,1,0,2
house,house,119000,for sale,4032,not installed,None,to renovate,gas,320,3,120,0,None,0,0,None
house,house,225000,for sale,6700,None,1850,to renovate,None,484,4,300,0,300,0,0,1
house,house,399000,for sale,1070,installed,1967,to be done up,gas,414,3,342,0,238,1,0,1
house,house,950000,for sale,1040,hyper equipped,1920,good,gas,404,6,16,0,50,1,0,None
house,mixed use building,399000,for sale,1310,hyper equipped,1927,None,gas,224,2,160,0,None,1,0,None
house,house,174500,for sale,4100,installed,None,None,gas,514,2,265,0,150,1,0,1
house,apartment block,275000,for sale,4020,not installed,None,good,fueloil,221,2,612,0,None,1,0,None
house,bungalow,275000,for sale,4400,installed,None,good,pellet,386,2,1200,1,340,1,1,None
house,bungalow,275000,for sale,4400,installed,None,good,pellet,386,2,1200,1,340,1,1,None
house,house,925000,for sale,8670,installed,1975,good,fueloil,489,5,1543,0,None,1,0,2
house,exceptional property,2699000,for sale,8310,usa hyper equipped,1820,good,gas,327,4,4997,0,4000,1,0,4
house,house,283000,for sale,2018,not installed,None,just renovated,gas,93,1,30,0,None,1,0,None
house,house,329000,for sale,9660,None,2020,None,gas,68,3,426,1,None,1,0,None
house,house,329000,for sale,9660,None,2020,None,gas,68,3,426,1,None,1,0,None
house,villa,250000,for sale,7911,installed,1939,to renovate,fueloil,570,4,1880,1,None,0,0,1
house,house,725000,for sale,2018,None,None,to renovate,None,None,8,170,0,40,0,0,None
house,mixed use building,90000,for sale,4100,None,None,to renovate,None,473,2,130,0,None,0,0,None
house,house,299000,for sale,2800,not installed,None,good,gas,405,3,64,0,None,0,0,None
house,house,289000,for sale,4920,installed,1954,just renovated,fueloil,None,6,236,0,None,1,0,1
house,house,435000,for sale,8660,installed,1935,None,gas,725,4,609,0,None,1,0,1
house,house,435000,for sale,8660,installed,1935,None,gas,725,4,609,0,None,1,0,1
house,house,330000,for sale,9930,None,1977,to be done up,electric,493,3,644,0,None,0,0,1
house,house,170000,for sale,7130,installed,None,just renovated,gas,329,3,40,0,None,1,0,1
house,house,170000,for sale,7130,installed,None,just renovated,gas,329,3,40,0,None,1,0,1
house,house,1000000,for sale,1650,None,1987,as new,gas,None,5,1651,0,None,0,0,2
house,house,1000000,for sale,1650,None,1987,as new,gas,None,5,1651,0,None,0,0,2
house,villa,189999,for sale,5660,usa hyper equipped,1983,just renovated,gas,None,3,700,0,600,1,0,1
house,house,469000,for sale,6750,semi equipped,None,None,fueloil,330,4,1861,0,None,1,1,1
house,house,225000,for sale,4540,semi equipped,None,to be done up,gas,527,3,539,0,479,1,0,1
house,house,165000,for sale,6000,semi equipped,None,good,gas,414,4,110,0,None,0,0,None
house,house,165000,for sale,6000,semi equipped,None,good,gas,414,4,110,0,None,0,0,None
house,house,155000,for sale,7971,usa hyper equipped,None,to renovate,gas,471,3,278,1,None,0,0,1
house,house,155000,for sale,7971,usa hyper equipped,None,to renovate,gas,471,3,278,1,None,0,0,1
house,house,325000,for sale,7822,installed,2012,as new,gas,124,3,318,1,150,1,0,1
house,house,294000,for sale,8970,None,None,good,None,None,3,326,0,None,1,0,None
house,house,349000,for sale,6960,semi equipped,None,None,fueloil,310,3,0,0,None,1,0,None
house,house,349000,for sale,6960,semi equipped,None,None,fueloil,310,3,0,0,None,1,0,None
house,house,135000,for sale,7033,semi equipped,None,good,gas,234,2,162,0,90,1,0,None
house,house,135000,for sale,7033,semi equipped,None,good,gas,234,2,162,0,90,1,0,None
house,town house,399000,for sale,3140,installed,1984,good,fueloil,239,3,289,0,None,0,0,1
house,house,382500,for sale,2830,installed,1979,to renovate,gas,508,3,912,0,660,0,0,1
house,house,430000,for sale,9070,None,None,as new,gas,153,3,57,0,None,0,0,None
house,house,430000,for sale,9070,None,None,as new,gas,153,3,57,0,None,0,0,None
house,mixed use building,179000,for sale,4800,semi equipped,None,good,gas,365,4,0,1,None,0,0,None
house,apartment block,249000,for sale,4800,semi equipped,None,good,gas,478,3,0,1,250,1,0,1
house,apartment block,249000,for sale,4800,semi equipped,None,good,gas,478,3,0,1,250,1,0,1
house,house,435000,for sale,1790,hyper equipped,2016,as new,gas,111,3,404,0,200,1,0,1
house,apartment block,495000,for sale,1080,hyper equipped,1958,to renovate,gas,256,5,120,0,40,1,0,None
house,apartment block,450000,for sale,1070,hyper equipped,1930,good,gas,275,5,100,0,45,1,0,None
house,apartment block,450000,for sale,1070,hyper equipped,1930,good,gas,275,5,100,0,45,1,0,None
house,apartment block,450000,for sale,1070,hyper equipped,1930,good,gas,275,5,100,0,45,1,0,None
house,house,985000,for sale,4880,installed,1930,good,None,268,7,3400,1,None,1,0,1
house,house,85000,for sale,7300,None,None,to renovate,None,573,2,390,1,300,0,0,None
house,country cottage,460000,for sale,7880,semi equipped,None,to renovate,fueloil,533,2,5280,0,None,0,0,None
house,house,240000,for sale,7970,None,1930,to be done up,None,None,4,197,0,None,0,0,None
house,house,285000,for sale,3500,None,1938,good,gas,192,3,75,0,None,1,0,None
house,country cottage,698000,for sale,7760,installed,None,just renovated,pellet,243,3,2049,0,None,1,0,1
house,country cottage,698000,for sale,7760,installed,None,just renovated,pellet,243,3,2049,0,None,1,0,1
house,villa,1295000,for sale,7750,installed,1978,None,fueloil,None,4,7793,0,None,1,1,None
house,house,525000,for sale,7890,installed,None,good,fueloil,175,6,2895,0,None,1,0,None
house,villa,1295000,for sale,7750,installed,1978,None,fueloil,None,4,7793,0,None,1,1,None
house,house,347500,for sale,8460,hyper equipped,2022,as new,None,30,3,300,0,1,0,0,1
house,house,399000,for sale,8650,installed,None,good,None,191,4,581,0,None,0,0,1
house,villa,399000,for sale,8792,installed,1978,good,None,327,3,592,0,371,1,0,1
house group,house group,345900 - 345900,for sale,9080,None,None,None,None,None,None,None,0,None,0,0,None
house group,house group,399900 - 545900,for sale,9080,None,None,None,None,None,None,None,0,None,0,0,None
house,house,179000,for sale,7700,installed,None,just renovated,None,183,3,162,0,50,1,0,None
house,house,249950,for sale,4600,None,2021,as new,pellet,None,3,285,0,None,1,0,None
house,house,165000,for sale,8870,semi equipped,1936,to renovate,None,654,3,0,0,None,0,0,None
house,house,125000,for sale,7370,None,None,to be done up,fueloil,631,2,850,0,None,1,0,1
house,house,125000,for sale,7370,None,None,to be done up,fueloil,631,2,850,0,None,1,0,1
house,house,185000,for sale,7350,None,None,None,gas,316,2,369,0,None,1,0,1
house,apartment block,255000,for sale,7000,None,None,None,gas,696,6,190,0,None,1,0,None
house,apartment block,255000,for sale,7000,None,None,None,gas,696,6,190,0,None,1,0,None
house,house,175000,for sale,7370,None,None,None,gas,297,3,25,0,None,1,0,None
house,house,175000,for sale,7370,None,None,None,gas,297,3,25,0,None,1,0,None
house,house,105000,for sale,7370,None,None,to renovate,fueloil,797,4,376,0,None,0,0,None
house,house,140000,for sale,7012,None,None,to be done up,gas,389,4,410,0,None,1,0,2
house,house,140000,for sale,7012,None,None,to be done up,gas,389,4,410,0,None,1,0,2
house,house,220000,for sale,7110,None,None,None,gas,238,4,210,0,None,1,0,1
house,house,50000,for sale,7012,None,None,to renovate,gas,470,1,5,0,None,1,0,None
house,house,95000,for sale,7301,None,None,to renovate,carbon,694,3,460,0,None,1,0,None
house,house,70000,for sale,7300,None,None,to be done up,gas,397,2,172,0,None,1,0,None
house,house,70000,for sale,7300,None,None,to be done up,gas,397,2,172,0,None,1,0,None
house,house,105000,for sale,7080,None,None,None,gas,246,2,7,0,None,0,0,None
house,house,105000,for sale,7080,None,None,None,gas,246,2,7,0,None,0,0,None
house,house,130000,for sale,7370,None,None,None,gas,594,2,209,0,None,1,0,None
house,house,130000,for sale,7370,None,None,None,gas,594,2,209,0,None,1,0,None
house,house,135000,for sale,7370,None,None,to be done up,gas,260,3,642,0,None,1,0,None
house,house,135000,for sale,7370,None,None,to be done up,gas,260,3,642,0,None,1,0,None
house,house,230000,for sale,7022,None,None,to renovate,gas,435,4,660,0,None,0,0,None
house,house,115000,for sale,7012,None,None,to renovate,gas,526,3,0,0,None,0,0,None
house,house,60000,for sale,7340,None,None,to renovate,gas,518,2,170,0,None,1,0,None
house,house,165000,for sale,7340,None,None,None,pellet,625,2,156,0,None,1,0,None
house,house,65000,for sale,7080,None,None,to renovate,carbon,594,2,140,0,None,0,0,None
house,house,245000,for sale,7643,None,None,None,fueloil,501,3,4700,0,None,1,0,1
house,house,245000,for sale,7643,None,None,None,fueloil,501,3,4700,0,None,1,0,1
house,house,125000,for sale,7300,None,None,None,gas,385,2,0,0,None,0,0,None
house,house,125000,for sale,7300,None,None,None,gas,385,2,0,0,None,0,0,None
house,house,180000,for sale,7321,None,None,to renovate,fueloil,569,3,1025,0,None,0,0,1
house,house,220000,for sale,7300,None,None,None,gas,214,4,480,0,None,1,0,None
house,house,220000,for sale,7300,None,None,None,gas,214,4,480,0,None,1,0,None
house,house,120000,for sale,7387,None,None,to renovate,gas,608,2,1830,0,None,0,0,None
house,house,150000,for sale,7350,None,None,None,fueloil,496,2,603,0,None,0,0,1
house,house,275000,for sale,7370,None,None,to be done up,gas,434,5,3200,0,None,1,0,1
house,house,275000,for sale,7370,None,None,to be done up,gas,434,5,3200,0,None,1,0,1
house,house,320000,for sale,7032,None,None,None,fueloil,555,4,3381,0,None,1,0,2
house,house,85000,for sale,7390,None,None,to renovate,gas,537,3,302,0,None,1,0,1
house,house,115000,for sale,7370,None,None,to be done up,gas,594,2,70,0,None,0,0,None
house,house,115000,for sale,7370,None,None,to be done up,gas,594,2,70,0,None,0,0,None
house,house,80000,for sale,7340,None,None,to renovate,fueloil,685,1,290,0,None,1,0,None
house,house,40000,for sale,7012,None,None,to renovate,None,731,2,150,0,None,0,0,None
house,house,65000,for sale,7370,None,None,to renovate,gas,618,1,243,0,None,1,0,None
house,house,65000,for sale,7370,None,None,to renovate,gas,618,1,243,0,None,1,0,None
house,house,350000,for sale,7040,None,None,to be done up,gas,715,2,12928,0,None,0,0,None
house,house,350000,for sale,7040,None,None,to be done up,gas,715,2,12928,0,None,0,0,None
house,house,95000,for sale,7380,None,None,to renovate,gas,586,3,30,0,None,1,0,None
house,house,130000,for sale,7340,None,None,None,gas,210,2,150,0,None,1,0,None
house,house,70000,for sale,7370,None,None,to renovate,None,877,1,340,0,None,0,0,None
